Invoice ID,Branch,City,Customer_type,Gender,Product_line,Unit price,Quantity,Total,Payment,Rating
394-43-4238,B,Mandalay,Member,Male,Home and lifestyle,17.77,5,88.85,Credit card,5.4
749-24-1565,A,Yangon,Normal,Female,Health and beauty,23.03,9,207.27,Ewallet,7.9
672-51-8681,C,Naypyitaw,Member,Female,Electronic accessories,66.65,9,599.85,Credit card,9.7
263-87-5680,C,Naypyitaw,Member,Female,Home and lifestyle,28.53,10,285.3,Ewallet,7.8
573-58-9734,B,Mandalay,Normal,Female,Fashion accessories,30.37,3,91.11,Ewallet,5.1
817-69-8206,B,Mandalay,Normal,Female,Electronic accessories,99.73,9,897.57,Credit card,6.5
888-02-0338,A,Yangon,Normal,Male,Electronic accessories,26.23,9,236.07,Ewallet,5.9
677-11-0152,C,Naypyitaw,Normal,Female,Food and beverages,93.26,9,839.34,Cash,8.8
142-63-6033,B,Mandalay,Normal,Male,Home and lifestyle,92.36,5,461.8,Ewallet,4.9
656-16-1063,B,Mandalay,Normal,Male,Sports and travel,46.42,3,139.26,Credit card,4.4
891-58-8335,B,Mandalay,Member,Female,Sports and travel,29.61,7,207.27,Cash,6.5
802-43-8934,A,Yangon,Normal,Male,Home and lifestyle,18.28,1,18.28,Credit card,8.3
560-30-5617,B,Mandalay,Normal,Female,Sports and travel,24.77,5,123.85,Cash,8.5
319-74-2561,A,Yangon,Member,Female,Electronic accessories,94.64,3,283.92,Cash,5.5
549-03-9315,B,Mandalay,Normal,Male,Fashion accessories,94.87,8,758.96,Ewallet,8.7
790-29-1172,B,Mandalay,Normal,Female,Food and beverages,57.34,3,172.02,Credit card,7.9
239-36-3640,B,Mandalay,Normal,Male,Electronic accessories,45.35,6,272.1,Ewallet,6.1
468-01-2051,B,Mandalay,Normal,Male,Food and beverages,62.08,7,434.56,Ewallet,5.4
389-25-3394,C,Naypyitaw,Normal,Male,Electronic accessories,11.81,5,59.05,Cash,9.4
279-62-1445,C,Naypyitaw,Member,Female,Fashion accessories,12.54,1,12.54,Cash,8.2
213-72-6612,A,Yangon,Normal,Male,Food and beverages,43.25,2,86.5,Cash,6.2
746-68-6593,C,Naypyitaw,Member,Female,Sports and travel,87.16,2,174.32,Credit card,9.7
836-82-5858,B,Mandalay,Member,Male,Health and beauty,69.37,9,624.33,Ewallet,4
583-72-1480,C,Naypyitaw,Member,Male,Electronic accessories,37.06,4,148.24,Ewallet,9.7
466-61-5506,B,Mandalay,Member,Female,Electronic accessories,90.7,6,544.2,Cash,5.3
721-86-6247,A,Yangon,Normal,Female,Home and lifestyle,63.42,8,507.36,Ewallet,7.4
289-65-5721,B,Mandalay,Normal,Female,Fashion accessories,81.37,2,162.74,Cash,6.5
545-46-3100,B,Mandalay,Member,Female,Electronic accessories,10.59,3,31.77,Credit card,8.7
418-02-5978,B,Mandalay,Normal,Female,Health and beauty,84.09,9,756.81,Cash,8
269-04-5750,B,Mandalay,Member,Male,Fashion accessories,73.82,4,295.28,Cash,6.7
157-13-5295,A,Yangon,Member,Male,Health and beauty,51.94,10,519.4,Ewallet,6.5
645-78-8093,A,Yangon,Normal,Female,Sports and travel,93.14,2,186.28,Ewallet,4.1
211-30-9270,C,Naypyitaw,Normal,Male,Health and beauty,17.41,5,87.05,Credit card,4.9
755-12-3214,C,Naypyitaw,Member,Female,Fashion accessories,44.22,5,221.1,Credit card,8.6
346-84-3103,B,Mandalay,Member,Female,Electronic accessories,13.22,5,66.1,Cash,4.3
478-06-7835,A,Yangon,Normal,Male,Fashion accessories,89.69,1,89.69,Ewallet,4.9
540-11-4336,A,Yangon,Normal,Male,Food and beverages,24.94,9,224.46,Credit card,5.6
448-81-5016,A,Yangon,Normal,Male,Health and beauty,59.77,2,119.54,Credit card,5.8
142-72-4741,C,Naypyitaw,Member,Male,Fashion accessories,93.2,2,186.4,Credit card,6
217-58-1179,A,Yangon,Member,Male,Home and lifestyle,62.65,4,250.6,Cash,4.2
376-02-8238,B,Mandalay,Normal,Male,Home and lifestyle,93.87,8,750.96,Credit card,8.3
530-90-9855,A,Yangon,Member,Male,Home and lifestyle,47.59,8,380.72,Cash,5.7
866-05-7563,B,Mandalay,Member,Female,Electronic accessories,81.4,3,244.2,Cash,4.8
604-70-6476,A,Yangon,Member,Male,Fashion accessories,17.94,5,89.7,Ewallet,6.8
799-71-1548,A,Yangon,Member,Male,Electronic accessories,77.72,4,310.88,Credit card,8.8
785-13-7708,B,Mandalay,Normal,Male,Food and beverages,73.06,7,511.42,Credit card,4.2
845-51-0542,B,Mandalay,Member,Male,Food and beverages,46.55,9,418.95,Ewallet,6.4
662-47-5456,C,Naypyitaw,Member,Male,Fashion accessories,35.19,10,351.9,Credit card,8.4
883-17-4236,C,Naypyitaw,Normal,Female,Sports and travel,14.39,2,28.78,Credit card,7.2
290-68-2984,A,Yangon,Normal,Male,Home and lifestyle,23.75,4,95,Cash,5.2
704-11-6354,A,Yangon,Member,Male,Home and lifestyle,58.9,8,471.2,Cash,8.9
110-48-7033,B,Mandalay,Member,Male,Fashion accessories,32.62,4,130.48,Cash,9
366-93-0948,A,Yangon,Member,Male,Electronic accessories,66.35,1,66.35,Credit card,9.7
729-09-9681,A,Yangon,Member,Male,Home and lifestyle,25.91,6,155.46,Ewallet,8.7
151-16-1484,A,Yangon,Member,Male,Electronic accessories,32.25,4,129,Ewallet,6.5
380-94-4661,C,Naypyitaw,Member,Male,Electronic accessories,65.94,4,263.76,Credit card,6.9
850-41-9669,A,Yangon,Normal,Female,Electronic accessories,75.06,9,675.54,Ewallet,6.2
821-07-3596,C,Naypyitaw,Normal,Female,Fashion accessories,16.45,4,65.8,Ewallet,5.6
655-85-5130,B,Mandalay,Member,Female,Fashion accessories,38.3,4,153.2,Cash,5.7
447-15-7839,A,Yangon,Member,Female,Sports and travel,22.24,10,222.4,Cash,4.2
154-74-7179,B,Mandalay,Normal,Male,Sports and travel,54.45,1,54.45,Ewallet,7.9
253-12-6086,A,Yangon,Member,Female,Sports and travel,98.4,7,688.8,Credit card,8.7
808-65-0703,C,Naypyitaw,Normal,Male,Home and lifestyle,35.47,4,141.88,Credit card,6.9
571-94-0759,B,Mandalay,Member,Female,Food and beverages,74.6,10,746,Cash,9.5
144-51-6085,A,Yangon,Member,Male,Home and lifestyle,70.74,4,282.96,Credit card,4.4
731-14-2199,A,Yangon,Member,Female,Home and lifestyle,35.54,10,355.4,Ewallet,7
783-09-1637,B,Mandalay,Normal,Female,Sports and travel,67.43,5,337.15,Ewallet,6.3
687-15-1097,C,Naypyitaw,Member,Female,Health and beauty,21.12,2,42.24,Cash,9.7
126-54-1082,A,Yangon,Member,Female,Home and lifestyle,21.54,9,193.86,Credit card,8.8
633-91-1052,A,Yangon,Normal,Female,Home and lifestyle,12.03,2,24.06,Cash,5.1
477-24-6490,B,Mandalay,Normal,Female,Health and beauty,99.71,6,598.26,Ewallet,7.9
566-19-5475,B,Mandalay,Normal,Male,Fashion accessories,47.97,7,335.79,Cash,6.2
526-86-8552,C,Naypyitaw,Member,Female,Home and lifestyle,21.82,10,218.2,Cash,7.1
376-56-3573,C,Naypyitaw,Normal,Female,Fashion accessories,95.42,4,381.68,Ewallet,6.4
537-72-0426,C,Naypyitaw,Member,Male,Fashion accessories,70.99,10,709.9,Cash,5.7
828-61-5674,A,Yangon,Member,Male,Sports and travel,44.02,10,440.2,Credit card,9.6
136-08-6195,A,Yangon,Normal,Female,Home and lifestyle,69.96,8,559.68,Credit card,6.4
523-38-0215,C,Naypyitaw,Normal,Male,Home and lifestyle,37,1,37,Credit card,7.9
490-29-1201,A,Yangon,Normal,Female,Sports and travel,15.34,1,15.34,Cash,6.5
667-92-0055,A,Yangon,Member,Male,Health and beauty,99.83,6,598.98,Ewallet,8.5
565-17-3836,A,Yangon,Member,Female,Health and beauty,47.67,4,190.68,Cash,9.1
498-41-1961,B,Mandalay,Normal,Male,Health and beauty,66.68,5,333.4,Cash,7.6
593-95-4461,C,Naypyitaw,Member,Male,Home and lifestyle,74.86,1,74.86,Cash,6.9
226-71-3580,C,Naypyitaw,Normal,Female,Sports and travel,23.75,9,213.75,Cash,9.5
